Cota|Titlul|Autori| ISBN|Editura|Locul aparitiei|An aparitie|Observatii
B12 | PIR 2: Implementarea structurii de tip HEAP | Nitu Bogdan ||| 2008 | Cluj Napoca | CD 
B13 | PIR 2: Tehnologia informatiei | Sfura Popa Lacramioara ||||| CD lucrare de absolvire
B14 | Analiza posibilitatilor de conectare la internet in mediul rural | Ofrim Motea Maria ||||| CD 
B15 | Optionalul TIC: realizare si implementare | Muresan Pavel Carmen Maria ||||| CD lucrare de absolvire
B16 | PIR 2: Prezentarea activitatilor extrascolare prin generarea automata a paginilor web din Word | Borbely Francisc Adalbert ||||| CD 
B17 | Utilizarea bazelor de date relationale in administrarea catalogului unei scoli | Timis Bobb Valerica ||||| CD 
B18 | Utilizarea aplicatiilor Microsoft Office in predarea tehnologiei informatiei | Tanasa Nicolae ||||| CD 
B19 | Proceesings of ICCCC 2008 | Agora University ||| 2008 | Oradea | DVD
B20 | PIR 2: Tehnologia informatiei | Bucelea Muresan Monica ||||| CD  lucrarea de absolvire
B21 | PIR 2: Implementarea unor structuri algebrice | Caprar Haiduc Mihaela ||||| CD 
B22 | Implementarea unor structuri algebrice. Inelul polinoamelor | Bobb Ovidiu ||||| CD 
B23 | Baza de date pentru evidenta informatiilor dintr-o clasa | Leszo Eva ||||| CD
B24 | Utilizare Linux. Notiuni de baza si practica | Acostachioaie Dragos, Buraga Sabin | 973-681-542-0 | Polirom | 2004 | Iasi | Carte
B25 | Education/Training and Information/Communication Technologies RoEduNet'05 | Enachescu Calin, Radoiu Dumintru, Adjei Osei | 973-7794-29-X | Editura Universitatii Petru Maior | 2005 | Targu Mures | Carte Proceedings of the 4th International Conference RoEduNet Romania 20-22 May 2005
B26 | Education/Training and Information/Communication Technologies RoEduNet'05 | Enachescu Calin, Radoiu Dumintru, Adjei Osei | 973-7794-29-X | Editura Universitatii Petru Maior | 2005 | Targu Mures | Carte Proceedings of the 4th International Conference RoEduNet Romania 20-22 May 2005
B27 | Education/Training and Information/Communication Technologies RoEduNet'05 | Enachescu Calin, Radoiu Dumintru, Adjei Osei | 973-7794-29-X | Editura Universitatii Petru Maior | 2005 | Targu Mures | Carte Proceedings of the 4th International Conference RoEduNet Romania 20-22 May 2005
B28 | Education/Training and Information/Communication Technologies RoEduNet'05 | Enachescu Calin, Radoiu Dumintru, Adjei Osei | 973-7794-29-X | Editura Universitatii Petru Maior | 2005 | Targu Mures | Carte Proceedings of the 4th International Conference RoEduNet Romania 20-22 May 2005
B29 | Audiometrie si protezare auditiva | Roman N Marius, Pop G Petre | 978-973-713-172-0 | Medimira | 2007 | Cluj Napoca | Carte
B30 | Profesor Gheorghe Farcas la varsta de 70 de ani | Conf.dr. Finta Bela | 973-7794-07-9 | Editura Universitatii Petru Maior | 2004 | Targu Mures | Carte
B31 | UNIX pentru profesionisti | Sage G Russell | 973-36-0185-3 | Editura de Vest | 1993 | Timisoara | Carte
B32 | Tehnologii software C/C++ si C# pentru aplicatii dedicate | Pop G Petre | 973-656-987-X | Risoprint | 2005 | cluj Napoca | Carte
B33 | Verificarea si validarea programelor | Frentiu Milton | 978-973-610-684-2 | Presa Universitara Clujeana | 2008 | Cluj Napoca | Carte
B34 | Bazele dezvoltarii aplicatiilor in limbajul C# | Pop G Petre | 978-973-751-574-2 | Risoprint | 2008 | Cluj Napoca | Carte
B35 | Tehnologii web vol.1 | Buroga Sabin Corneliu | 973-685-280-6 | Matrix Rom | 2001 | Bucuresti | Carte
B36 | Tehnologii web vol.2 | Buroga Sabin Corneliu | 973-685-280-6 | Matrix Rom | 2001 | Bucuresti | Carte     
B37 | Intelligent Computing and Information Systems | Tolba Mohamed, Salem Abdel Baduch | 977-237-172-3 | Nubar Printing House | 2002 | Cairo | Carte First International Conference on Intellingent Computing and Information Systems, ICICIS 2002, June 24-26, Proceedings
B38 | Solaris 8 Media - Intel Platform Edition | Sun Microsystems ||| 2000 || Colectie de CD
B39 | Solaris 8 Media - Sparc Platform Edition | Sun Microsystems ||| 2000 || Colectie de CD
B40 | Informatica - culegere de probleme pentru liceu | Bucur Carmen, Bucur Doina, Bucur iulia, Pintea Adrian, Salontiu Crina, Stanca Florentina, Vaida Dana | 973-8335-75-2 | UT Press | 2002 | Cluj Napoca | Carte
B41 | Informatica - culegere de probleme pentru liceu | Bucur Carmen, Bucur Doina, Bucur iulia, Pintea Adrian, Salontiu Crina, Stanca Florentina, Vaida Dana | 973-8335-75-2 | UT Press | 2002 | Cluj Napoca | Carte
B42 | Carpatian Journal of Mathematics Vol.19 No.2 | Department of Mathematics and Computer Science North University of Baia Mare | 154-2851 || 2003 | Baia Mare | Carte
B43 | Carpatian Journal of Mathematics Vol.19 No.1 | Department of Mathematics and Computer Science North University of Baia Mare | 154-2851 || 2003 | Baia Mare | Carte
B44 | Carpatian Journal of Mathematics Vol.20 No.2 | Department of Mathematics and Computer Science North University of Baia Mare | 154-2851 || 2004 | Baia Mare | Carte
B45 | Carpatian Journal of Mathematics Vol.20 No.1 | Department of Mathematics and Computer Science North University of Baia Mare | 154-2851 || 2004 | Baia Mare | Carte
B46 | Carpatian Journal of Mathematics Vol.21 No.1-2 | Department of Mathematics and Computer Science North University of Baia Mare | 154-2851 || 2005 | Baia Mare | Carte
B47 | Carpatian Journal of Mathematics Vol.22 No.1-2 | Department of Mathematics and Computer Science North University of Baia Mare | 154-2851 || 2006 | Baia Mare | Carte
B48 | Informational Journal of Intelligent Computing and Information Science Vol.1 Number 1 | Tolba F Mohamed, Salem M Abdel-Badeeh | 1687-109x | Nubar Printing House | 2002 | Cairo | Carte
B49 | Criptografia si securitatea retelelor de calculatoare cu aplicatii in C si Pascal | Patriciu Victor Valeriu | 973-31-0600-3 | Editura Tehnica | 1994 | Bucuresti | Carte
B50 | Initiere in UNIX | Fortis Florin, Negru Viorel, Sandru Calin | 973-9479-50-2 | Eubeea | 2001 | Timisoara | Carte
B51 | Introducere in algoritmi | Cormen H Thomas, Leiserson E Charles, Rivest R Ronald | 973-97534-3-4 | Computer Libris | 1990 || Carte
B52 | Macromedia FLASH. Concepte, exemple, studii de caz | Varlan Cosmin | 937-681-707-5 | Polirom | 2004 | Iasi | Carte
B53 | Aplicatii Web la cheie. Studii de caz implementate in PHP | Ginghina Ciprian, Manolache Bogdan, Nechita Cristian, Oprea Cristina, Orzan Alexandrina, Puscasu Constantin, Rapota Marius, Rotberg Iavi, Solomon Silvana | 973-681-456-4 | Polirom | 2003 | Iasi | Carte
B54 | Situri Web la cheie. Solutii profesionale de implementare | Atofani Viorel, Bahmata Sorin, Bostan Marian, Bulancea Catalin, Croitoru Andrei, Rozamic Adrian, Manolache Bogdan, Puiu Daniel, Varlan Cosmin | 973-681-785-7 | Polirom | 2004 | Iasi | Carte
B55 | Instrumente pentru E-Learning. Ghidul Informatic al profesorului modern | Brut Mihaela | 973-46-0251-9 | Polirom | 2006 |Iasi | Carte
B56 | Introducere in AJAX | Anghel Traian | 973-46-0568-2 | Polirom | 2006 | Iasi | Carte
B57 | Prezentari multimedia pe Web | Brut Mihaela, Buraga Sabin | 973-681-521-8 | Polirom | 2004 | Iasi | Carte
B58 | Computer Driving Licence. Modulul 3 - Word | Eder Bernhard, Kodym Willibald, Lichner Franz | 973-571-341-1 | Bic All | 2001 | Bucuresti | Carte
B59 | Calculul paralel. Proiectare si dezvoltare formala a programelor paralele | Niculescu Virginia | 973-610-393-5 | Presa Universitara Clujeana | 2005 | Cluj Napoca | Carte
B60 | XML | Phillips Lu Anne | 973-20-0604-8 | Teora | 2000 | Bucuresti | Carte
B61 | Euro - Par 2003. Parallel Processing | Kosch Harald, Boszormenyi Laszlo, Hellwagner Hermann | 0302-9743 | Springer | 2003 | Berlin | Carte  
B62 | ICICIS 2002 ||| Dar EL-Harery Press | 2002 | Cairo | Revista
B63 | Advanced environments, Tools and Applications for Cluster Computing | Grigoras Dan, Nicolau Alex, Toursel Bernard, Folliot Berll | 0302-9743 | Springer | 2002 | Berlin | Carte
B64 | UNIX | Pilat Florin Vladimir, Stefanescu Irina, Deaconu Sorin | 973-601-063-5 | Teora || Bucuresti | Carte
B65 | Atelier d eprogramare in retele de calculatoare | Buroga Sorin, Ciobanu Gabriel | 973-683-755-6 | Polirom | 2001 | Iasi | Carte
B66 | Administrarea si configurarea sistemelor Linux | Acostachioaie Dragos | 973-46-0108-3 | Polirom | 2006 | Iasi | Carte
B67 | Programare C si C++ pentru Linux | Acostachioaie Dragos | 973-681-112-3 | Polirom | 2002 | Iasi | Carte
B68 | Administrarea si configurarea sistemelor Linux | Acostachioaie Dragos | 973-46-0108-3 | Polirom | 2006 | Iasi | Carte
B69 | Structuri de date si algoritmi. Aplicatii in C++ folosind STL | Iorga Valeriu, Opincaru Cristian Stratan Corina, Chirita Alexandru | 973-681-872-1 | Polirom | 2005 | Iasi | Carte
B70 | Introducere in analiza algoritmilor. Teorie si aplicatie | Giamale A Cristian | 973-681-751-2 | Polirom | 2004 | Iasi | Carte
B71 | Free BSD. Utilizare. Administrare. Configurare | Acostachioaie Dragos, Ene Ovidiu | 973-681-804-7 | Polirom | 2005 | Iasi | Carte
B72 | Proiectarea algoritmilor | Lucanu Dorel, Craus Mitica | 978-973-46-1140-9 | Polirom | 2008 | Iasi | Carte
B73 | Securitatea sistemelor Linux | Acostachioaie Dragos | 973-681-317-7 | Polirom | 2003 | Iasi | Carte
B74 | Calcul paralel | Dzitac Ioan | 973-613-049-5 | Editura Universitatii din Oradea | 2001 | Oradea | Carte
B75 | Didactica informaticii de la teorie la practica | Magdas Ioana | 978-973-555-527-6 | Chesium | 2007 | Cluj Napoca | Carte 
B76 | De la aritmetica la calculatoare | Boian Florian Mircea | 973-97535-5-8 | Presa Universitara Clujeana | 1996 | Cluj Napoca | Carte
B77 | Tehnici de explorare si analiza a datelor medicale | Todor Nicolae | 973-9357-05-9 | Mediamira | 2002 | Cluj Napoca | Carte
B78 | HTML. Publicatii Web | Radoiu Dumitru | 973-97706-0-6 | Computer Press Agora | 1996 | Targu Mures | Carte
B79 | Modele conexioniste in inteligenta artificiala | Dumitrescu D ||| 1995 || Carte
B80 | Inteligenta artificiala | Dumitrescu D ||| 1995 || Carte
B81 | Component Software. Beyond Object - Oriented Programming | Szyperski Clemens || Addison - Wesley ||| Carte
B82 | EWNLC 2008 Timetable | Agora Univeristy ||| 2008 | Oradea | Brosura Workshop Satellite of ICCCC 2008
B83 | Timetable ICCCC 2008 | Agora Univeristy ||| 2008 | Oradea | Brosura 
|||||||

cota | Titlul | Lista autorilor | ISBN | Editura | Locul aparitiei | Anul aparitiei | Observatii
|||||||
|||||||
D1 | Computational mathematics | N.I Danilina, N.S Drubrovskaya, O.P Kvasha G.L Smirnov | ISBN 5-03-000275-8 | Mir Publishing Moskow | Moskow | 1988 | Carte
D2 | The world is build on Probability | Lev Tarasov | ISBN 5-03-001124-2 | Mir Publishing Moskow | Moskow | 1988 | Carte 
D3 | Introduction to the Theory of Games | J.Szep, F.Forgo | ISBN 90-277-1404-5 | D.Reidel Publishing Company Hungary| Budapest | 1985 | Carte 
D4 | Modula-3 | Samuel P.Harbison |ISBN 0-13-596404-0 | Prentice Hall | New Jerssey | 1992 | Carte
D5 | Introduction to Approximation Theory | E.W. Cheney | ISBN 0-8284-0317-1 |Chelsea Publishing Company | New York | 1982 | Carte
D6 | Analysis of numerical methods | Eugene Isaacson, Herbert Bishop Keller |ISBN 0-471-42865-5 | John Wiley & Sons | New York | 1966 | Carte
D7 | Managing UUCP and Usenet | Tim O'Reilly ,Grace Todino | ISBN 0-937175-93-5 | O'Reilly & Associates ,Inc | Sebastopol CA | 1992 | Carte
D8 | Using SAMBA | Robert Eckstein, David Collier-Brown, Peter Kelly | ISBN 1-565492-449-5 | O'Reilly & Associates , Inc | Sebastopol CA | 2000 | Carte
D9 | Pthreads programming | Bradford Nichols, Dick Buttlar, Jaqueline Proulx Farrel | ISBN 1-56592-115-1 | O'Reilly & Associates , Inc | Sebastopol CA | 1996 | Carte
D10| Client/Server Programming with Java and CORBA | Robert Orfali, Dan Harley | ISBN 0-471-24578-x | Wiley Computer Publishing | USA | 1998 | Carte
D11| Practical UNIX and Internet Security | Simpson Garfinkel ,Gene Spafford | ISBN 1-56592-148-8 | O'Reilly & Associates,Inc | Sebastopol CA | 1996| Carte
D12| Java threads | Scott Oaks, Henry Wong | ISBN 1-56592-216-6 | O'Reilly & Associates,Inc | Sebastopol CA | 1997 | Carte
D13| Java Network Programming | Elliotte Rusty Harold | ISBN 1-56592-227-1 | O'Reilly & Associates,Inc | Sebastopol CA | 1997 | Carte
D14| The Java Tutorial.Object-Oriented Programming for the Internet | Mary Campione, Katly Walrath | ISBN 0-201-63454-6 | Addison -Wesley Longman Inc | Massachusetts | 1996 | Carte 
D15| X Toolkit Intrisics Programming Manual | Adrian Nye, Tim O'Reilly | ISBN 0-937175-56-0 | O'Reilly & Associates,Inc |  Sebastopol CA | 1990 | Carte
D16| X Toolkit for Intrisics Reference Manual | David Flanagan | ISBN 1-56592-007-4 | O'Reilly & Associates,Inc |  Sebastopol CA | 1990 | Carte
D17| Microsoft System Management Server 2003 | Steven D.Kaczmarek || Microsoft Press || |
D18| Microsoft Exchange Server 2003 :Administrator's Companion | Walter J Glenn , Bil English | ISBN 0-7356-1979-4 |Microsoft Press | Redmonton Washinghton || Carte
D19| Advanced Educational Technology Proceedings III | ISBN 973-8084-60-1 || Targu-Mures || Carte |
D20| KEPT 2007 Knowledge engineering: Principle and techniques || ISBN 978-973-610-556-2 |Presa Universitara Clujeana | Cluj-Napoca | 2007 | Carte
D21| Proceedings of the Symposium Zilele Academice Clujene | Militon Frentiu |||||
D22| Advanced Educational Technologies.Proceedings II Act Workshop | C.Enachescu, D Radoiu | ISBN 973-8084-33-4 | Ed.Universitatii " Petru Maior " | Tg-Mures | 2001 | Carte 
D23| Calculatoare paralele.Arhitectura,programare,algoritmi. | R.W Hockney, C.R Jesshope | ISBN 973-31-0330-6 | Ed.Tehnica | Bucuresti| 1991 | Carte 
D24| Tratat de programarea Calculatoarelor.Algoritmi fundamentali | Knuth D.E || Ed.Tehnica | Bucuresti | 1974 | Carte
D25| Tratat de programarea Calculatoarelor.Algoritmi fundamentali | Knuth D.E || Ed.Tehnica | Bucuresti | 1974 | Carte
D26| Tratat de programarea Calculatoarelor.Algoritmi fundamentali | Knuth D.E || Ed.Tehnica | Bucuresti | 1974 | Carte
D27|||||cd suse||
D28|||||cd carti in format electronic||
D29|||||cd carti in format electronic||
D30|||||cd carti in format electronic||
D31|||||cd carti in format electronic||
D32|||||cd carti in format electronic ||
D33|||||cd carti in format electronic||
D34|||||cd carti in format electronic||
D35|||||cd carti in format electronic||
D36|||||cd carti in format electronic||
D37|||||cd Open Solaris||
D38|||||cd Open Solaris||
D39|||||cd Open Solaris||
D40|||||cd Open Solaris||
D41|||||cd Open Solaris||
D42|||||cd Open Unix||
D43|||||cd Open Unix||
D44|||||cd Open Unix||
D45|||||cd Open Unix||
D46|||||cd Open Unix||
D47|||||cd Open Unix||
D48|||||cd Open Unix||
D49|||||cd Open Unix||
D50|||||cd Open Unix||
D51|||||cd Open Unix||
D52|||||cd Manuale format electronic||
D53|||||cd Manuale format electronic||
D54|||||cd Manuale format electronic||
D55|||||cd Manuale format electronic||
D56|||||cd Manuale format electronic||
D57|||||cd Manuale format electronic||
D58|||||cd Manuale format electronic||
D59|||||cd Manuale format electronic||
D60|||||cd Manuale format electronic||
D61|||||cd Manuale format electronic||
|||||||
|||||||

C01|Contributii privind aplicatiile multimedia distribuite|Porumb Cosmin||Universitatea Tehnica din Cluj-Napoca Facultatea de Electronica si Telecomunicatii|Cluj Napoca, Romania|0|Teza de doctorat Conducator stiintific: prof dr. ing. Aurel Vlaicu
C02|Tehnica Firewall|Arpad Incze ||||0|Referat Conducator: Prof.Univ. Dr. Moldovan Grigor
C03|Contributii privind aplicatiile multimedia distribuite|ing. Porumb Cosmin||Universitatea Tehnica din Cluj-Napoca Facultatea de Electronica si Telecomunicatii|Cluj Napoca, Romania|0|Teza de doctorat Conducator stiintific: prof. dr. ing. Aurel Vlaicu
C04|Proiectarea aplicatiilor J2EE fara EJB: tehnologiile Spring si Hibernate|Duca Diana Bianca||Universitatea Babes-Bolyai Cluj Napoca|Cluj Napoca, Romania|2005|Lucrare de disertatie Coordonator: prof. univ. dr. Florian Mircea Boian
C05|Protectie si securitate in retele LAN, MAN, WAN. Securitatea la nivel transport si aplicatie - securitatea Web si securitatea e-mail|Crainicu Bogdan Calin||Universitatea Babes-Bolyai Cluj Napoca|Cluj Napoca, Romania|2006|Referat Conducator stiintific: Prof. Univ. Dr. Florian Mircea Boian
C06|Proiect de cercetare|Sandor Lukacs||Universitatea Babes-Bolyai Cluj Napoca|Cluj Napoca, Romania|2006|Conducator stiintific: Prof. Dr. Boian Florian Mircea
C07|Contributii la dezvoltarea securizarii aplicatiilor multimedia distribuite|Ing. Striletchi Cosmin ||||0|Teza de doctorat Indrumator: Prof. Dr. Ing. Mircea Florin Vaida
C08|Atestare JAVA|||||0|Copie xerox
C09|Power Programming with RPC|Bloomer John|0-937175-77-3||United States of America|1992|Copie xerox
C10|OPERATING SYSTEMS: Internals and Design Principles 3rd edition|Stallings William|0-13-887407-7|Prentice Hall|New Jersy, USA|1998|Copie xerox
C11|The Art of Distributed Applications |Corbin R. John|0-387-97247-1|Springer-Verlag|USA|1991|Copie xerox
C12|Concurent Programming - Principles and Practice|Adrews R. Gregory|0-8053-0086-4|The Benjamin/Cummings Publishing Company, Inc.|Redwood City, California, USA|1991|*
C13|Tehnica Firewall|Arpad Incze |||Cluj Napoca, Romania|0|Referat
C14|Adaptation Dynamique de Services|Cremene Marcel||||2005|Coordonatori: Michel Riveill, Costin Miron
C15|Congestion Control in Datagram Flows|Sterca Adrian|||Cluj Napoca, Romania|2004|Technical Report Supervisor: Prof. dr. Florian Boian UBB
C16|Contributii in analiza, prelucrarea si reprezentarea imaginilor|Lupsa Radu-Lucian|||Cluj Napoca, Romania|2006|Coordonator stiintific: Prof. dr. Leon Tambulea
C17|Mecanisme de protectie a informatiilor in Internet si Intranet|Lector Univ. Oros Horea|||Oradea, Romania|2007|Referat doctoral Conducator stiintific: Prof. univ. dr. Florin M. Boian Universitatea din Oradea Departamentul de Matematica si Informatica
C18|Protocoale de securitate in retele WAN - Securitatea la nivel IP - setul de protocoale IPsec|Crainicu Bogdan Calin|||Cluj Napoca, Romania|2005|Referat Coordonator stiintific: Prof. Univ. Dr. Florian Mircea Boian UBB
C19|Operating Systems Part 4|Tanenbaum||||0|Copie xerox
C20|UNIX - Distributed Programming|Brown Chris|0-13-075896-5|Prentice Hall|Great Britain|1994|Copie xerox
C21|Distributed Systems Principles and Paradigms|Tanenbaum Andrew, Van Steen Maarten|0-13-088893-1|Prentice Hall|New Jersy, USA|2002|Copie xerox
C22|Programarea orientata pe obiecte in limbajul C++|Jurca Ioan||Eurobit|Romania|0|Copie xerox
C23|Java: The Complete Reference Chapter Seventeen|||||0|Capitolul 17, copie xerox
C24|Case Study 3: Amoeba (Chapter 14)|||||0|Capitolul 14, copie xerox
C25|Distributed System Structures (Chapter 12-14)|||||0|Capitolele 12-14, copie xerox
C26|Java Spaces Principles Patterns and Practice|Freeman Eric, Hupfer Susanne, Arnold Ken|0-20130955-6|Addison-Wesley|USA|0|Copie xerox
C27|The Logical Design of Operating Systems Second Edition|Bic Lubomir, Shaw C. Alan|0-13-540139-9|Prentice Hall|USA|1988|*
C28|Turbo Assembler - Quick Reference Guide|||Borland International||1990|*
C29|Les Langages a Objets|Masini Gerald, Napoli Amedeo, Colnet Dominique, Leonard Daniel, Tombre Karl|2-7296-0275-5|InterEditions|France|0|Copie xerox
C30|Concurent Systems|Bacon Jean|0-201-17767-6|Addison-Wesley|England|1997|Copie xerox
C31|The Art of Parallel Programing|Lester Pl Bruce|0-13-074980-X|Prentice Hall|New Jersy, USA|1993|Copie xerox
C32|Programming Languages Conceps and Constructs|Sethi Ravi|0-201-10365-6|Addison-Wesley|New Jersy, USA|1989|Copie xerox
C33|Introduction to Parallel Computing - Design and Analysis of Algorithms|Kumar Vipin, Grama Ananth, Gupta Anshul, Karypis George|0-8053-3170-0|The Benjamin/Cummings Publishing Company, Inc.|USA|1994|Copie xerox
C34|Languages and Compilers for Parallel Computing|Gelernter David, Nicolau Alexandru, Padua David|0-273-08820-3|Pitman Publishing|London, England|1990|Copie xerox
C35|OPERATING SYSTEMS: Design and Implementation|Tanenbaum Andrew|0-13-637406-9|Prentice Hall|USA|1987|Copie xerox
C36|PC System Programming|Tischer michael|1-55755-036-0|Abacus|USA|1990|Copie xerox
C37|L'Environnement de Programmation UNIX|Kernighan Brian, Pike Rob|2-7296-0130-9|InterEditions|Paris, France|1984|Copie xerox Traducere de Eric Horlait
C38|Introducing UNIX System V Chapters 8+|Morgan R., McGilton H.||||0|Copie xerox
C39|The UNIX System |Bourne S.R. |0-201-13791-7|Addison-Wesley|USA|1983|Copie xerox
C40|The C Programming Language|Kernighan B.W., Ritchie D.M.|0-13-110163-3|Prentice Hall|USA|1978|Copie xerox
C41|OPERATING SYSTEMS: Design and Implementation Chapter 5-6, Anexa A-D|Tanenbaum Andrew||Prentice Hall|USA|1987|Copie xerox
C42|Fundamentals of Programming Languages|Horowitz Ellis|0-914894-37-4|Springer-Verlag|USA|1983|Copie xerox
C43|Semantics of Programming Languages|Tennent R.D.||Prentice Hall|USA|0|Copie xerox
C44|Data Structures and Algorithms|Aho Alfred, Hopcroft John, Ullman Jeffrey|0-201-00023-7|Addison-Wesley|USA|1983|Copie xerox
C45|Communicating Sequential Processes|Hoare C.A.R.|0-13-153271-5|Prentice Hall|Great Britain|1985|Copie xerox
C46|Parallel Virtual Machine - A Users' Guide and Tutorial for Networked Parallel Computing|Geist Al, Beguelin Adam, Dongarra Jack, Jiang Weicheng, Manchek Robert||||0|Copie xerox
C47|Parallel Supercomputing in SIMD Architectures|Hord Michael|0-8493-4271-6|CRC press|USA|1990|Copie xerox
C48|Synchronous Programming of Reactive Systems|Halbwachs Nicolas|0-7923-9211-6|Kluwer Academic Publishers|Netherlands|1993|Copie xerox
C49|Programming Distributed Systems|Bal Henri|0-13-722083-9|Prentice Hall|England|1990|Copie xerox
C50|Distributed Computing|Duce David, Jones Gillian||Academic Press||1984|Copie xerox
C51|Parallel Programming - An Introduction|Braunl Thomas|0+13-336827-0|Prentice Hall|Great Britain|1993|Copie xerox
C52|Coordinated Computing Tools and Techniques for Distributed Software|Filman Robert, Friedman Daniel|0-07-022439-0|McFraw-Hill|USA|1984|Copie xerox
C53|High-Performance Computer Architecture|Stone Harold||Addison-Wesley||1987|Copie xerox
C54|The C++ Programming Language|Stroustrup Bjarne|0-201-12078-X|Addison-Wesley|USA|1986|Copie xerox
C55|Operating Systems Theory|Coffman E.G., Denning P.J.|0-13-637868-4|Prentice Hall|New Jersy, USA|1973|Copie xerox
C56|Parallel Algorighms for Irregular Problems: State of the Art|Ferreira Afonso, Rolim Jose|0-7923-3623-2|Kluwer Academic Publishers|Netherlands|1995|Copie xerox
C57|Distributed Environments - Software Paradigms and Workstations|Ohno Y.|0-387-70075-7|Springer-Verlag|Hong Kong|1991|Copie xerox
C58|Supercompilers for Parallel and Vector Computers|Zima Hans, Chapman Barbara||Addison-Wesley|England|1990|Copie xerox
C59|Introduction to Distributed Algorithms|Tel Gerard|0-521-47069-2|Cambridge University Press|Australia|1994|Copie xerox
C60|Minix Source Code Listing|||||0|Copie xerox
C61|Introducing UNIX System V Chapter 1-7|Morgan Rachel, McGilton Henry|||McGraw-Hill|0|C61
C62|La Construction de Programmes Structurales||2-04-007922-X||Paris, France|0|Copie xerox
C63|P-Prolog - A Parallel Logic Programming Language|Yang Rong|9971-50-508-8|World Scientific Publishing|USA|1987|Copie xerox Series in Computere Science Volume 9
C64|Parallel Logic Programming in PARLOG - The Language and its Implementation|Gregory Steve|0-201-19241-1|Addison-Wesley|Great Britain|1987|Copie xerox
C65|The C++ Answer Book|Hansen Tony|0-201-11497-6|Addison-Wesley|Great Britain|1990|Copie xerox
C67|Common LISP - The Language|Steele Guy, Fahlman Scott, Moon David, Weinreb Daniel||Digital Press||0|Copie xerox
C68|Practical Parallel Programing|Bauer Barr|0-12-082810-3|Academic Press|USA|1992|Copie xerox
C69|Distributed Ada: developments and experiences|Bishp Judy|0-521-39251-9|Cambridge University Press|Great Britain|1990|Copie xerox

G1|Sistemul de operare UNIX. Gestionarea fisierelor|Ignat Iosif,Butean Emil,Kalman Pusztai|973-95718-3-2|Microinformatica|Cluj-Napoca|1992|lb.romana, 193 pag
G2|Comenzi si functii FoxBase+|Chiorean Marius,Malai Rada||Microinformatica|Cluj-Napoca|1991|lb. romana, 175 pag.
G3|Culegere de probleme de calcul diferential si integral III|Bucur Gheorghe,Campu E.,Gaina S.||Editura Tehnica|Bucuresti|1967|425 pag. ,lb.romana
G4|Culegere de probleme de calcul diferential si integral II|Bucur Gheorghe,Campu E.,Gaina S.||Editura Tehnica|Bucuresti|1966|365 pag. ,lb.romana
G5|Sisteme in stiintele naturii|Malita Mircea||Editura Academiei Republicii Socialiste Romania|Bucuresti|1979|173 pag, lb.romana
G6|Sisteme in stiintele sociale|Malita Mircea||Editura Academiei Republicii Socialiste Romania|Bucuresti|1977|154 pag, lb.romana
G7|Areas and Logarithms|Markushevish A.I||Mir Publishers|Moscova|1981|69 pag., lb.engleza
G8|Gramatici contextuale|Paun Gheorghe||Editura Academiei Republicii Socialiste Romania|Bucuresti|1982|149 pag., lb.romana
G9|Cum se programeaza un calculator? Minienciclopedie de calculatoare. Vol. II|Neigenfind Rulf|973-31-400-7|Editura Tehnica|Bucuresti|1991|39 pag., lb.romana
G10|Cum functioneaza un calculator? Minienciclopedie de calculatoare . Vol. I|Neigenfind Rulf|973-31-401-9|Editura Tehnica|Bucuresti|1991|60 pag., lb.romana
G11|Peregrin prin Europa|Rad Ilie|973-30-3139-9|Editura Didactica si Pedagogica R.A|Bucuresti|1998|368 pag., lb.romana
G12|Restructuring of the (re)training of school teachers in Computer Science|Proiectul TEMPUS S_JEP 11168-96|973-97515-5-5|Computer Libris Agora|Cluj|1998|395 pag, lb.romana
G13|Ecuations differentielles ordinaires|Pontriaguine L.||Mir Publishers|Moscova|1969|343 pag., lb.franceza
G14|Probleme de optimizare si algoritmi de aproximare a solutiilor|Ilioi Constantin||Editura Academiei Republicii Socialiste Romania|Bucuresti|1980|202 pag., lb.romana
G15|Probleme de fizica date la examene|Hristev Anatolie||Editura Tehnica|Bucuresti|1984|532 pag., lb.romana
G16|Planul si spatiul euclidian|Branzei Dan,Anita Sebastian,Cocea Constantin||Editura Academiei Republicii Socialiste Romania|Bucuresti|1986|390 pag., lb.romana
G17|Bazele rationamentului geometric|Branzei Dan,Onofras Eugen,Anita Sebastian,Izvoranu Gheorghe||Editura Academiei Republicii Socialiste Romania|Bucuresti|1983|243 pag., lb.romana
G18|Transformari geometrice|Smaranda Dumitru,Soare Nicolae||Editura Academiei Republicii Socialiste Romania|Bucuresti|1988|254 pag., lb. romana
G19|Bazele algebrei. Vol I|Nastasescu C.,Nita C.,Vraciu C.||Editura Academiei Republicii Socialiste Romania|Bucuresti|1986|351	pag, lb.romana
G20|Object Management|Tsichritzis Dennis,Arapis Costas,Casais Eduardo,Dami Laurent,de Mey Vicky||Centre Universitaire d Informatique|Paris|1990|376 pag., lb.engleza
G21|Istoria matematicii in Romania . Vol II|Andonie George St.||Editura stiintifica|Bucuresti|1966|469 pag., lb.romana
G22|Triade|Guiasu Silvu,Malita Mircea||Editura stiintifica|Bucuresti|1973|224 pag., lb.romana
